a,b,sigma,root
0.0,0.0,0.0,0.075942888
0.0,0.025,-0.000313,0.07594098
0.0,0.05,-0.00125,0.075929536
0.0,0.075,-0.002813,0.075914277
0.0,0.1,-0.005,0.075889482
0.0,0.125,-0.007812,0.075860872
0.0,0.15,-0.01125,0.075824632
0.0,0.175,-0.015312,0.075780763
0.0,0.2,-0.02,0.075731172
0.0,0.225,-0.025312,0.075675859
0.0,0.25,-0.03125,0.075612917
0.0,0.275,-0.037812,0.075544253
0.0,0.3,-0.045,0.075467959
0.0,0.325,-0.052813,0.075385943
0.0,0.35,-0.06125,0.075298205
0.0,0.375,-0.070313,0.075204745
0.0,0.4,-0.08,0.075103656
0.0,0.425,-0.090313,0.074998752
0.0,0.45,-0.10125,0.074886219
0.0,0.475,-0.112813,0.074767963
0.0,0.5,-0.125,0.074643986
0.0,0.525,-0.137813,0.074514286
0.0,0.55,-0.15125,0.074378865
0.0,0.575,-0.165313,0.074239629
0.0,0.6,-0.18,0.074092763
0.0,0.625,-0.195313,0.073942083
0.0,0.65,-0.21125,0.073783773
0.0,0.675,-0.227813,0.073623556
0.0,0.7,-0.245,0.07345571
0.0,0.725,-0.262813,0.073284049
0.0,0.75,-0.28125,0.073106666
0.0,0.775,-0.300313,0.072925468
0.0,0.8,-0.32,0.072740456
0.0,0.825,-0.340313,0.072549721
0.0,0.85,-0.36125,0.072355172
0.0,0.875,-0.382813,0.072156808
0.0,0.9,-0.405,0.071952722
0.0,0.925,-0.427813,0.071746729
0.0,0.95,-0.45125,0.071535014
0.0,0.975,-0.475313,0.071319484
0.0,1.0,-0.5,0.071102046
0.0,1.025,-0.525313,0.070878887
0.0,1.05,-0.55125,0.07065382
0.0,1.075,-0.577813,0.070424939
0.0,1.1,-0.605,0.07019415
0.0,1.125,-0.632812,0.06995764
0.0,1.15,-0.66125,0.069721129
0.0,1.175,-0.690312,0.069478896
0.0,1.2,-0.72,0.069236663
0.0,1.225,-0.750312,0.068990616
0.0,1.25,-0.78125,0.068740754
0.0,1.275,-0.812812,0.068488984
0.0,1.3,-0.845,0.068235307
0.0,1.325,-0.877812,0.067979723
0.0,1.35,-0.91125,0.067722231
0.0,1.375,-0.945312,0.067462833
